ID,Title,Brand,Model
1157,"Olympus  7040 comes with a  1/2.33"" (~ 6.08 x 4.56 mm) CCD sensor, which has a diagonal of  7.60 mm (0.3"") and a surface area of 27.72 mm².",Olympus,Stylus 7040
1158,"Olympus SP 800 UZ comes with a  1/2.33"" (~ 6.08 x 4.56 mm) CCD sensor, which has a diagonal of  7.60 mm (0.3"") and a surface area of 27.72 mm².",Olympus,SP 800 UZ
1159,"Olympus FE-48 comes with a  1/2.3"" (~ 6.16 x 4.62 mm) CCD sensor, which has a diagonal of  7.70 mm (0.3"") and a surface area of 28.46 mm².",Olympus,FE-48
1160,"Olympus FE-4040 comes with a  1/2.33"" (~ 6.08 x 4.56 mm) CCD sensor, which has a diagonal of  7.60 mm (0.3"") and a surface area of 27.72 mm².",Olympus,FE-4040
1161,"Olympus  Tough 8010 comes with a  1/2.33"" (~ 6.08 x 4.56 mm) CCD sensor, which has a diagonal of  7.60 mm (0.3"") and a surface area of 27.72 mm².",Olympus,Stylus Tough 8010
1162,"Olympus FE-5040 comes with a  1/2.3"" (~ 6.16 x 4.62 mm) CCD sensor, which has a diagonal of  7.70 mm (0.3"") and a surface area of 28.46 mm².",Olympus,FE-5040
1163,"Olympus SP 600 UZ comes with a  1/2.33"" (~ 6.08 x 4.56 mm) CCD sensor, which has a diagonal of  7.60 mm (0.3"") and a surface area of 27.72 mm².",Olympus,SP 600 UZ
1164,"Olympus T-110 comes with a  1/2.3"" (~ 6.16 x 4.62 mm) CCD sensor, which has a diagonal of  7.70 mm (0.3"") and a surface area of 28.46 mm².",Olympus,T-110
1165,"Olympus  Tough 8010 comes with a  1/2.33"" (~ 6.08 x 4.56 mm) CCD sensor, which has a diagonal of  7.60 mm (0.3"") and a surface area of 27.72 mm².",Olympus,Stylus Tough 8010
1166,"Olympus FE-4030 comes with a  1/2.33"" (~ 6.08 x 4.56 mm) CCD sensor, which has a diagonal of  7.60 mm (0.3"") and a surface area of 27.72 mm².",Olympus,FE-4030
1167,"Olympus FE-4050 comes with a  1/2.3"" (~ 6.16 x 4.62 mm) CCD sensor, which has a diagonal of  7.70 mm (0.3"") and a surface area of 28.46 mm².",Olympus,FE-4050
1168,"Olympus  7030 comes with a  1/2.33"" (~ 6.08 x 4.56 mm) CCD sensor, which has a diagonal of  7.60 mm (0.3"") and a surface area of 27.72 mm².",Olympus,Stylus 7030
1169,"Olympus FE-5035 comes with a  1/2.33"" (~ 6.08 x 4.56 mm) CCD sensor, which has a diagonal of  7.60 mm (0.3"") and a surface area of 27.72 mm².",Olympus,FE-5035
1170,"Olympus T-10 comes with a  1/2.3"" (~ 6.16 x 4.62 mm) CCD sensor, which has a diagonal of  7.70 mm (0.3"") and a surface area of 28.46 mm².",Olympus,T-10
1171,"Olympus  Tough 6020 comes with a  1/2.33"" (~ 6.08 x 4.56 mm) CCD sensor, which has a diagonal of  7.60 mm (0.3"") and a surface area of 27.72 mm².",Olympus,Stylus Tough 6020
1172,"Olympus FE-47 comes with a  1/2.33"" (~ 6.08 x 4.56 mm) CCD sensor, which has a diagonal of  7.60 mm (0.3"") and a surface area of 27.72 mm².",Olympus,FE-47
1173,"Olympus  5010 comes with a  1/2.33"" (~ 6.08 x 4.56 mm) CCD sensor, which has a diagonal of  7.60 mm (0.3"") and a surface area of 27.72 mm².",Olympus,Stylus 5010
1174,"Olympus FE-4020 comes with a  1/2.3"" (~ 6.16 x 4.62 mm) CCD sensor, which has a diagonal of  7.70 mm (0.3"") and a surface area of 28.46 mm².",Olympus,FE-4020
1175,"Olympus Mju 7050 comes with a  1/2.3"" (~ 6.16 x 4.62 mm) CCD sensor, which has a diagonal of  7.70 mm (0.3"") and a surface area of 28.46 mm².",Olympus,Mju 7050
1176,"Olympus  Tough-3000 comes with a  1/2.33"" (~ 6.08 x 4.56 mm) CCD sensor, which has a diagonal of  7.60 mm (0.3"") and a surface area of 27.72 mm².",Olympus,Stylus Tough-3000
1177,"Olympus T-100 comes with a  1/2.3"" (~ 6.16 x 4.62 mm) CCD sensor, which has a diagonal of  7.70 mm (0.3"") and a surface area of 28.46 mm².",Olympus,T-100
1178,"Olympus E-5 comes with a  Four Thirds (17.3 x 13 mm) CMOS sensor, which has a diagonal of  21.64 mm (0.85"") and a surface area of 224.90 mm².",Olympus,E-5
1179,"Olympus PEN E-PL1s comes with a  Four Thirds (17.3 x 13 mm) CMOS sensor, which has a diagonal of  21.64 mm (0.85"") and a surface area of 224.90 mm².",Olympus,PEN E-PL1s
1180,"Olympus  Tough 6000 comes with a  1/2.3"" (~ 6.16 x 4.62 mm) CCD sensor, which has a diagonal of  7.70 mm (0.3"") and a surface area of 28.46 mm².",Olympus,Stylus Tough 6000
1181,"Olympus FE-5030 comes with a  1/2.33"" (~ 6.08 x 4.56 mm) CCD sensor, which has a diagonal of  7.60 mm (0.3"") and a surface area of 27.72 mm².",Olympus,FE-5030
1182,"Olympus E-450 comes with a  Four Thirds (17.3 x 13 mm) CMOS sensor, which has a diagonal of  21.64 mm (0.85"") and a surface area of 224.90 mm².",Olympus,E-450
1183,"Olympus FE-45 comes with a  1/2.33"" (~ 6.08 x 4.56 mm) CCD sensor, which has a diagonal of  7.60 mm (0.3"") and a surface area of 27.72 mm².",Olympus,FE-45
1184,"Olympus FE-26 comes with a  1/2.33"" (~ 6.08 x 4.56 mm) CCD sensor, which has a diagonal of  7.60 mm (0.3"") and a surface area of 27.72 mm².",Olympus,FE-26
1185,"Olympus E-600 comes with a  Four Thirds (17.3 x 13 mm) CMOS sensor, which has a diagonal of  21.64 mm (0.85"") and a surface area of 224.90 mm².",Olympus,E-600
1186,"Olympus SP 590 UZ comes with a  1/2.33"" (~ 6.08 x 4.56 mm) CCD sensor, which has a diagonal of  7.60 mm (0.3"") and a surface area of 27.72 mm².",Olympus,SP 590 UZ
1187,"Olympus  Tough 8000 comes with a  1/2.33"" (~ 6.08 x 4.56 mm) CCD sensor, which has a diagonal of  7.60 mm (0.3"") and a surface area of 27.72 mm².",Olympus,Stylus Tough 8000
1188,"Olympus FE-5020 comes with a  1/2.3"" (~ 6.16 x 4.62 mm) CCD sensor, which has a diagonal of  7.70 mm (0.3"") and a surface area of 28.46 mm².",Olympus,FE-5020
1189,"Olympus SP 590 UZ comes with a  1/2.33"" (~ 6.08 x 4.56 mm) CCD sensor, which has a diagonal of  7.60 mm (0.3"") and a surface area of 27.72 mm².",Olympus,SP 590 UZ
1190,"Olympus  9000 comes with a  1/2.33"" (~ 6.08 x 4.56 mm) CCD sensor, which has a diagonal of  7.60 mm (0.3"") and a surface area of 27.72 mm².",Olympus,Stylus 9000
1191,"Olympus X-905 comes with a  1/2.3"" (~ 6.16 x 4.62 mm) CCD sensor, which has a diagonal of  7.70 mm (0.3"") and a surface area of 28.46 mm².",Olympus,X-905
1192,"Olympus PEN E-P1 comes with a  Four Thirds (17.3 x 13 mm) CMOS sensor, which has a diagonal of  21.64 mm (0.85"") and a surface area of 224.90 mm².",Olympus,PEN E-P1
1193,"Olympus FE-4000 comes with a  1/2.3"" (~ 6.16 x 4.62 mm) CCD sensor, which has a diagonal of  7.70 mm (0.3"") and a surface area of 28.46 mm².",Olympus,FE-4000
1194,"Olympus Mju 5000 comes with a  1/2.33"" (~ 6.08 x 4.56 mm) CCD sensor, which has a diagonal of  7.60 mm (0.3"") and a surface area of 27.72 mm².",Olympus,Mju 5000
1195,"Olympus  7000 comes with a  1/2.33"" (~ 6.08 x 4.56 mm) CCD sensor, which has a diagonal of  7.60 mm (0.3"") and a surface area of 27.72 mm².",Olympus,Stylus 7000
1196,"Olympus FE-25 comes with a  1/2.33"" (~ 6.08 x 4.56 mm) CCD sensor, which has a diagonal of  7.60 mm (0.3"") and a surface area of 27.72 mm².",Olympus,FE-25
1197,"Olympus  550WP comes with a  1/2.33"" (~ 6.08 x 4.56 mm) CCD sensor, which has a diagonal of  7.60 mm (0.3"") and a surface area of 27.72 mm².",Olympus,Stylus 550WP
1198,"Olympus  7010 comes with a  1/2.33"" (~ 6.08 x 4.56 mm) CCD sensor, which has a diagonal of  7.60 mm (0.3"") and a surface area of 27.72 mm².",Olympus,Stylus 7010
1199,"Olympus FE-5000 comes with a  1/2.33"" (~ 6.08 x 4.56 mm) CCD sensor, which has a diagonal of  7.60 mm (0.3"") and a surface area of 27.72 mm².",Olympus,FE-5000
1200,"Olympus FE-4010 comes with a  1/2.3"" (~ 6.16 x 4.62 mm) CCD sensor, which has a diagonal of  7.70 mm (0.3"") and a surface area of 28.46 mm².",Olympus,FE-4010
1201,"Olympus PEN E-P2 comes with a  Four Thirds (17.3 x 13 mm) CMOS sensor, which has a diagonal of  21.64 mm (0.85"") and a surface area of 224.90 mm².",Olympus,PEN E-P2
1202,"Olympus FE-5010 comes with a  1/2.33"" (~ 6.08 x 4.56 mm) CCD sensor, which has a diagonal of  7.60 mm (0.3"") and a surface area of 27.72 mm².",Olympus,FE-5010
1203,"Olympus  Tough 6000 comes with a  1/2.3"" (~ 6.16 x 4.62 mm) CCD sensor, which has a diagonal of  7.70 mm (0.3"") and a surface area of 28.46 mm².",Olympus,Stylus Tough 6000
1204,"Olympus E-450 comes with a  Four Thirds (17.3 x 13 mm) CMOS sensor, which has a diagonal of  21.64 mm (0.85"") and a surface area of 224.90 mm².",Olympus,E-450
1205,"Olympus FE-3010 comes with a  1/2.33"" (~ 6.08 x 4.56 mm) CCD sensor, which has a diagonal of  7.60 mm (0.3"") and a surface area of 27.72 mm².",Olympus,FE-3010
1206,"Olympus X-920 comes with a  1/2.3"" (~ 6.16 x 4.62 mm) CCD sensor, which has a diagonal of  7.70 mm (0.3"") and a surface area of 28.46 mm².",Olympus,X-920
1207,"Olympus E-420 comes with a  Four Thirds (17.3 x 13 mm) CMOS sensor, which has a diagonal of  21.64 mm (0.85"") and a surface area of 224.90 mm².",Olympus,E-420
1208,"Olympus FE-360 comes with a  1/2.35"" (~ 6.03 x 4.52 mm) CCD sensor, which has a diagonal of  7.54 mm (0.3"") and a surface area of 27.26 mm².",Olympus,FE-360
1209,"Olympus  1030 SW comes with a  1/2.33"" (~ 6.08 x 4.56 mm) CCD sensor, which has a diagonal of  7.60 mm (0.3"") and a surface area of 27.72 mm².",Olympus,Stylus 1030 SW
1210,"Olympus SP 570 UZ comes with a  1/2.33"" (~ 6.08 x 4.56 mm) CCD sensor, which has a diagonal of  7.60 mm (0.3"") and a surface area of 27.72 mm².",Olympus,SP 570 UZ
1211,"Olympus  840 comes with a  1/2.35"" (~ 6.03 x 4.52 mm) CCD sensor, which has a diagonal of  7.54 mm (0.3"") and a surface area of 27.26 mm².",Olympus,Stylus 840
1212,"Olympus Mju 1060 comes with a  1/2.33"" (~ 6.08 x 4.56 mm) CCD sensor, which has a diagonal of  7.60 mm (0.3"") and a surface area of 27.72 mm².",Olympus,Mju 1060
1213,"Olympus FE-310 comes with a  1/2.5"" (~ 5.75 x 4.32 mm) CCD sensor, which has a diagonal of  7.19 mm (0.28"") and a surface area of 24.84 mm².",Olympus,FE-310
1214,"Olympus E-520 comes with a  Four Thirds (17.3 x 13 mm) CMOS sensor, which has a diagonal of  21.64 mm (0.85"") and a surface area of 224.90 mm².",Olympus,E-520
1215,"Olympus E-420 comes with a  Four Thirds (17.3 x 13 mm) CMOS sensor, which has a diagonal of  21.64 mm (0.85"") and a surface area of 224.90 mm².",Olympus,E-420
1216,"Olympus FE-360 comes with a  1/2.35"" (~ 6.03 x 4.52 mm) CCD sensor, which has a diagonal of  7.54 mm (0.3"") and a surface area of 27.26 mm².",Olympus,FE-360
1217,"Olympus  1030 SW comes with a  1/2.33"" (~ 6.08 x 4.56 mm) CCD sensor, which has a diagonal of  7.60 mm (0.3"") and a surface area of 27.72 mm².",Olympus,Stylus 1030 SW
1218,"Olympus SP 570 UZ comes with a  1/2.33"" (~ 6.08 x 4.56 mm) CCD sensor, which has a diagonal of  7.60 mm (0.3"") and a surface area of 27.72 mm².",Olympus,SP 570 UZ
1219,"Olympus  840 comes with a  1/2.35"" (~ 6.03 x 4.52 mm) CCD sensor, which has a diagonal of  7.54 mm (0.3"") and a surface area of 27.26 mm².",Olympus,Stylus 840
1220,"Olympus Mju 1060 comes with a  1/2.33"" (~ 6.08 x 4.56 mm) CCD sensor, which has a diagonal of  7.60 mm (0.3"") and a surface area of 27.72 mm².",Olympus,Mju 1060
1221,"Olympus SP-565UZ comes with a  1/2.33"" (~ 6.08 x 4.56 mm) CCD sensor, which has a diagonal of  7.60 mm (0.3"") and a surface area of 27.72 mm².",Olympus,SP-565UZ
1222,"Olympus X-15 comes with a  1/2.35"" (~ 6.03 x 4.52 mm) CCD sensor, which has a diagonal of  7.54 mm (0.3"") and a surface area of 27.26 mm².",Olympus,X-15
1223,"Olympus  850 SW comes with a  1/2.35"" (~ 6.03 x 4.52 mm) CCD sensor, which has a diagonal of  7.54 mm (0.3"") and a surface area of 27.26 mm².",Olympus,Stylus 850 SW
1224,"Olympus FE-350 comes with a  1/2.5"" (~ 5.75 x 4.32 mm) CCD sensor, which has a diagonal of  7.19 mm (0.28"") and a surface area of 24.84 mm².",Olympus,FE-350
1225,"Olympus  1040 comes with a  1/2.33"" (~ 6.08 x 4.56 mm) CCD sensor, which has a diagonal of  7.60 mm (0.3"") and a surface area of 27.72 mm².",Olympus,Stylus 1040
1226,"Olympus FE-20 comes with a  1/2.35"" (~ 6.03 x 4.52 mm) CCD sensor, which has a diagonal of  7.54 mm (0.3"") and a surface area of 27.26 mm².",Olympus,FE-20
1227,"Olympus X-785 comes with a  1/2.5"" (~ 5.75 x 4.32 mm) CCD sensor, which has a diagonal of  7.19 mm (0.28"") and a surface area of 24.84 mm².",Olympus,X-785
1228,"Olympus  830 comes with a  1/2.3"" (~ 6.16 x 4.62 mm) CCD sensor, which has a diagonal of  7.70 mm (0.3"") and a surface area of 28.46 mm².",Olympus,Stylus 830
1229,"Olympus FE-240 comes with a  1/2.5"" (~ 5.75 x 4.32 mm) CCD sensor, which has a diagonal of  7.19 mm (0.28"") and a surface area of 24.84 mm².",Olympus,FE-240
1230,"Olympus FE-280 comes with a  1/2.3"" (~ 6.16 x 4.62 mm) CCD sensor, which has a diagonal of  7.70 mm (0.3"") and a surface area of 28.46 mm².",Olympus,FE-280
1231,"Olympus  760 comes with a  1/2.3"" (~ 6.16 x 4.62 mm) CCD sensor, which has a diagonal of  7.70 mm (0.3"") and a surface area of 28.46 mm².",Olympus,Stylus 760
1232,"Olympus X-775 comes with a  1/2.5"" (~ 5.75 x 4.32 mm) CCD sensor, which has a diagonal of  7.19 mm (0.28"") and a surface area of 24.84 mm².",Olympus,X-775
1233,"Olympus  1200 comes with a  1/1.72"" (~ 7.44 x 5.58 mm) CCD sensor, which has a diagonal of  9.30 mm (0.37"") and a surface area of 41.52 mm².",Olympus,Stylus 1200
1234,"Olympus FE-230 comes with a  1/2.5"" (~ 5.75 x 4.32 mm) CCD sensor, which has a diagonal of  7.19 mm (0.28"") and a surface area of 24.84 mm².",Olympus,FE-230
1235,"Olympus FE-290 comes with a  1/2.5"" (~ 5.75 x 4.32 mm) CCD sensor, which has a diagonal of  7.19 mm (0.28"") and a surface area of 24.84 mm².",Olympus,FE-290
1236,"Olympus  770 SW comes with a  1/2.3"" (~ 6.16 x 4.62 mm) CCD sensor, which has a diagonal of  7.70 mm (0.3"") and a surface area of 28.46 mm².",Olympus,Stylus 770 SW
1237,"Olympus FE-220 comes with a  1/2.5"" (~ 5.75 x 4.32 mm) CCD sensor, which has a diagonal of  7.19 mm (0.28"") and a surface area of 24.84 mm².",Olympus,FE-220
1238,"Olympus  770 SW comes with a  1/2.3"" (~ 6.16 x 4.62 mm) CCD sensor, which has a diagonal of  7.70 mm (0.3"") and a surface area of 28.46 mm².",Olympus,Stylus 770 SW
1239,"Olympus E-3 comes with a  Four Thirds (17.3 x 13 mm) CMOS sensor, which has a diagonal of  21.64 mm (0.85"") and a surface area of 224.90 mm².",Olympus,E-3
1240,"Olympus SP 560 UZ comes with a  1/2.3"" (~ 6.16 x 4.62 mm) CCD sensor, which has a diagonal of  7.70 mm (0.3"") and a surface area of 28.46 mm².",Olympus,SP 560 UZ
1241,"Olympus  780 comes with a  1/2.3"" (~ 6.16 x 4.62 mm) CCD sensor, which has a diagonal of  7.70 mm (0.3"") and a surface area of 28.46 mm².",Olympus,Stylus 780
1242,"Olympus FE-250 comes with a  1/1.8"" (~ 7.11 x 5.33 mm) CCD sensor, which has a diagonal of  8.89 mm (0.35"") and a surface area of 37.90 mm².",Olympus,FE-250
1243,"Olympus FE-270 comes with a  1/2.5"" (~ 5.75 x 4.32 mm) CCD sensor, which has a diagonal of  7.19 mm (0.28"") and a surface area of 24.84 mm².",Olympus,FE-270
1244,"Olympus  790 SW comes with a  1/2.3"" (~ 6.16 x 4.62 mm) CCD sensor, which has a diagonal of  7.70 mm (0.3"") and a surface area of 28.46 mm².",Olympus,Stylus 790 SW
1245,"Olympus X-785 comes with a  1/2.5"" (~ 5.75 x 4.32 mm) CCD sensor, which has a diagonal of  7.19 mm (0.28"") and a surface area of 24.84 mm².",Olympus,X-785
1246,"Olympus E-410 / EVOLT E-410 comes with a  Four Thirds (17.3 x 13 mm) CMOS sensor, which has a diagonal of  21.64 mm (0.85"") and a surface area of 224.90 mm².",Olympus,E-410 / EVOLT E-410
1247,"Olympus FE-240 comes with a  1/2.5"" (~ 5.75 x 4.32 mm) CCD sensor, which has a diagonal of  7.19 mm (0.28"") and a surface area of 24.84 mm².",Olympus,FE-240
1248,"Olympus FE-280 comes with a  1/2.3"" (~ 6.16 x 4.62 mm) CCD sensor, which has a diagonal of  7.70 mm (0.3"") and a surface area of 28.46 mm².",Olympus,FE-280
1249,"Olympus  820 comes with a  1/2.3"" (~ 6.16 x 4.62 mm) CCD sensor, which has a diagonal of  7.70 mm (0.3"") and a surface area of 28.46 mm².",Olympus,Stylus 820
1250,"Olympus FE-190 comes with a  1/2.5"" (~ 5.75 x 4.32 mm) CCD sensor, which has a diagonal of  7.19 mm (0.28"") and a surface area of 24.84 mm².",Olympus,FE-190
1251,"Olympus  700 comes with a  1/2.3"" (~ 6.16 x 4.62 mm) CCD sensor, which has a diagonal of  7.70 mm (0.3"") and a surface area of 28.46 mm².",Olympus,Stylus 700
1252,"Olympus FE-140 comes with a  1/2.5"" (~ 5.75 x 4.32 mm) CCD sensor, which has a diagonal of  7.19 mm (0.28"") and a surface area of 24.84 mm².",Olympus,FE-140
1253,"Olympus  730 comes with a  1/2.3"" (~ 6.16 x 4.62 mm) CCD sensor, which has a diagonal of  7.70 mm (0.3"") and a surface area of 28.46 mm².",Olympus,Stylus 730
1254,"Olympus FE-200 comes with a  1/2.5"" (~ 5.75 x 4.32 mm) CCD sensor, which has a diagonal of  7.19 mm (0.28"") and a surface area of 24.84 mm².",Olympus,FE-200
1255,"Olympus  720 SW comes with a  1/2.3"" (~ 6.16 x 4.62 mm) CCD sensor, which has a diagonal of  7.70 mm (0.3"") and a surface area of 28.46 mm².",Olympus,Stylus 720 SW
1256,"Olympus FE-130 comes with a  1/2.5"" (~ 5.75 x 4.32 mm) CCD sensor, which has a diagonal of  7.19 mm (0.28"") and a surface area of 24.84 mm².",Olympus,FE-130
1257,"Olympus  740 comes with a  1/2.3"" (~ 6.16 x 4.62 mm) CCD sensor, which has a diagonal of  7.70 mm (0.3"") and a surface area of 28.46 mm².",Olympus,Stylus 740
1258,"Olympus SP 510 UZ comes with a  1/2.5"" (~ 5.75 x 4.32 mm) CCD sensor, which has a diagonal of  7.19 mm (0.28"") and a surface area of 24.84 mm².",Olympus,SP 510 UZ
1259,"Olympus  810 comes with a  1/1.8"" (~ 7.11 x 5.33 mm) CCD sensor, which has a diagonal of  8.89 mm (0.35"") and a surface area of 37.90 mm².",Olympus,Stylus 810
1260,"Olympus FE-115 comes with a  1/2.5"" (~ 5.75 x 4.32 mm) CCD sensor, which has a diagonal of  7.19 mm (0.28"") and a surface area of 24.84 mm².",Olympus,FE-115
1261,"Olympus FE-170 comes with a  1/2.5"" (~ 5.75 x 4.32 mm) CCD sensor, which has a diagonal of  7.19 mm (0.28"") and a surface area of 24.84 mm².",Olympus,FE-170
1262,"Olympus  750 comes with a  1/2.3"" (~ 6.16 x 4.62 mm) CCD sensor, which has a diagonal of  7.70 mm (0.3"") and a surface area of 28.46 mm².",Olympus,Stylus 750
1263,"Olympus E-400 comes with a  Four Thirds (17.3 x 13 mm) CCD sensor, which has a diagonal of  21.64 mm (0.85"") and a surface area of 224.90 mm².",Olympus,E-400
1264,"Olympus FE-160 comes with a  1/2.5"" (~ 5.75 x 4.32 mm) CCD sensor, which has a diagonal of  7.19 mm (0.28"") and a surface area of 24.84 mm².",Olympus,FE-160
1265,"Olympus  1000 comes with a  1/1.8"" (~ 7.11 x 5.33 mm) CCD sensor, which has a diagonal of  8.89 mm (0.35"") and a surface area of 37.90 mm².",Olympus,Stylus 1000
1266,"Olympus SP 320 comes with a  1/1.8"" (~ 7.11 x 5.33 mm) CCD sensor, which has a diagonal of  8.89 mm (0.35"") and a surface area of 37.90 mm².",Olympus,SP 320
1267,"Olympus FE-180 comes with a  1/2.5"" (~ 5.75 x 4.32 mm) CCD sensor, which has a diagonal of  7.19 mm (0.28"") and a surface area of 24.84 mm².",Olympus,FE-180
1268,"Olympus  725 SW comes with a  1/2.3"" (~ 6.16 x 4.62 mm) CCD sensor, which has a diagonal of  7.70 mm (0.3"") and a surface area of 28.46 mm².",Olympus,Stylus 725 SW
1269,"Olympus FE-150 comes with a  1/2.5"" (~ 5.75 x 4.32 mm) CCD sensor, which has a diagonal of  7.19 mm (0.28"") and a surface area of 24.84 mm².",Olympus,FE-150
1270,"Olympus C-315 Zoom comes with a  1/2.5"" (~ 5.75 x 4.32 mm) CCD sensor, which has a diagonal of  7.19 mm (0.28"") and a surface area of 24.84 mm².",Olympus,C-315 Zoom
1271,"Olympus SP 700 comes with a  1/2.5"" (~ 5.75 x 4.32 mm) CCD sensor, which has a diagonal of  7.19 mm (0.28"") and a surface area of 24.84 mm².",Olympus,SP 700
1272,"Olympus C-55 Zoom comes with a  1/1.8"" (~ 7.11 x 5.33 mm) CCD sensor, which has a diagonal of  8.89 mm (0.35"") and a surface area of 37.90 mm².",Olympus,C-55 Zoom
1273,"Olympus  800 comes with a  1/1.8"" (~ 7.11 x 5.33 mm) CCD sensor, which has a diagonal of  8.89 mm (0.35"") and a surface area of 37.90 mm².",Olympus,Stylus 800
1274,"Olympus SP 500 UZ comes with a  1/2.5"" (~ 5.75 x 4.32 mm) CCD sensor, which has a diagonal of  7.19 mm (0.28"") and a surface area of 24.84 mm².",Olympus,SP 500 UZ
1275,"Olympus  Verve  S comes with a  1/2.5"" (~ 5.75 x 4.32 mm) CCD sensor, which has a diagonal of  7.19 mm (0.28"") and a surface area of 24.84 mm².",Olympus,Stylus Verve  S
1276,"Olympus C-180 comes with a  1/2.5"" (~ 5.75 x 4.32 mm) CCD sensor, which has a diagonal of  7.19 mm (0.28"") and a surface area of 24.84 mm².",Olympus,C-180
1277,"Olympus mju 800 black comes with a  1/1.8"" (~ 7.11 x 5.33 mm) CCD sensor, which has a diagonal of  8.89 mm (0.35"") and a surface area of 37.90 mm².",Olympus,mju 800 black
1278,"Olympus D-545 Zoom comes with a  1/2.5"" (~ 5.75 x 4.32 mm) CCD sensor, which has a diagonal of  7.19 mm (0.28"") and a surface area of 24.84 mm².",Olympus,D-545 Zoom
1279,"Olympus FE-100 comes with a  1/2.5"" (~ 5.75 x 4.32 mm) CCD sensor, which has a diagonal of  7.19 mm (0.28"") and a surface area of 24.84 mm².",Olympus,FE-100
1280,"Olympus D-425 comes with a  1/2.5"" (~ 5.75 x 4.32 mm) CCD sensor, which has a diagonal of  7.19 mm (0.28"") and a surface area of 24.84 mm².",Olympus,D-425
1281,"Olympus C-480 Zoom comes with a  1/2.5"" (~ 5.75 x 4.32 mm) CCD sensor, which has a diagonal of  7.19 mm (0.28"") and a surface area of 24.84 mm².",Olympus,C-480 Zoom
1282,"Olympus E-500 / EVOLT E-500 comes with a  Four Thirds (17.3 x 13 mm) CCD sensor, which has a diagonal of  21.64 mm (0.85"") and a surface area of 224.90 mm².",Olympus,E-500 / EVOLT E-500
1283,"Olympus D-595 Zoom comes with a  1/2.5"" (~ 5.75 x 4.32 mm) CCD sensor, which has a diagonal of  7.19 mm (0.28"") and a surface area of 24.84 mm².",Olympus,D-595 Zoom
1284,"Olympus FE-110 comes with a  1/2.5"" (~ 5.75 x 4.32 mm) CCD sensor, which has a diagonal of  7.19 mm (0.28"") and a surface area of 24.84 mm².",Olympus,FE-110
1285,"Olympus C-5500 Sport Zoom comes with a  1/1.8"" (~ 7.11 x 5.33 mm) CCD sensor, which has a diagonal of  8.89 mm (0.35"") and a surface area of 37.90 mm².",Olympus,C-5500 Sport Zoom
1286,"Olympus  600 comes with a  1/2.5"" (~ 5.75 x 4.32 mm) CCD sensor, which has a diagonal of  7.19 mm (0.28"") and a surface area of 24.84 mm².",Olympus,Stylus 600
1287,"Olympus SP 350 comes with a  1/1.8"" (~ 7.11 x 5.33 mm) CCD sensor, which has a diagonal of  8.89 mm (0.35"") and a surface area of 37.90 mm².",Olympus,SP 350
1288,"Olympus SP 500 UZ comes with a  1/2.5"" (~ 5.75 x 4.32 mm) CCD sensor, which has a diagonal of  7.19 mm (0.28"") and a surface area of 24.84 mm².",Olympus,SP 500 UZ
1289,"Olympus  Verve  S comes with a  1/2.5"" (~ 5.75 x 4.32 mm) CCD sensor, which has a diagonal of  7.19 mm (0.28"") and a surface area of 24.84 mm².",Olympus,Stylus Verve  S
1290,"Olympus C-180 comes with a  1/2.5"" (~ 5.75 x 4.32 mm) CCD sensor, which has a diagonal of  7.19 mm (0.28"") and a surface area of 24.84 mm².",Olympus,C-180
1291,"Olympus mju 800 black comes with a  1/1.8"" (~ 7.11 x 5.33 mm) CCD sensor, which has a diagonal of  8.89 mm (0.35"") and a surface area of 37.90 mm².",Olympus,mju 800 black
1292,"Olympus D-545 Zoom comes with a  1/2.5"" (~ 5.75 x 4.32 mm) CCD sensor, which has a diagonal of  7.19 mm (0.28"") and a surface area of 24.84 mm².",Olympus,D-545 Zoom
1293,"Olympus FE-100 comes with a  1/2.5"" (~ 5.75 x 4.32 mm) CCD sensor, which has a diagonal of  7.19 mm (0.28"") and a surface area of 24.84 mm².",Olympus,FE-100
1294,"Olympus D-425 comes with a  1/2.5"" (~ 5.75 x 4.32 mm) CCD sensor, which has a diagonal of  7.19 mm (0.28"") and a surface area of 24.84 mm².",Olympus,D-425
1295,"Olympus C-7000 Zoom comes with a  1/1.8"" (~ 7.11 x 5.33 mm) CCD sensor, which has a diagonal of  8.89 mm (0.35"") and a surface area of 37.90 mm².",Olympus,C-7000 Zoom
1296,"Olympus C-60 Zoom comes with a  1/1.76"" (~ 7.27 x 5.46 mm) CCD sensor, which has a diagonal of  9.09 mm (0.36"") and a surface area of 39.69 mm².",Olympus,C-60 Zoom
1297,"Olympus m:robe MR 500i comes with a  1/4"" (~ 3.20 x 2.40 mm) CMOS sensor, which has a diagonal of  4.00 mm (0.16"") and a surface area of 7.68 mm².",Olympus,m:robe MR 500i
1298,"Olympus  410 comes with a  1/2.5"" (~ 5.75 x 4.32 mm) CCD sensor, which has a diagonal of  7.19 mm (0.28"") and a surface area of 24.84 mm².",Olympus,Stylus 410
1299,"Olympus C-360 Zoom comes with a  1/2.5"" (~ 5.75 x 4.32 mm) CCD sensor, which has a diagonal of  7.19 mm (0.28"") and a surface area of 24.84 mm².",Olympus,C-360 Zoom
1300,"Olympus AZ-2 Zoom comes with a  1/2.7"" (~ 5.33 x 4 mm) CCD sensor, which has a diagonal of  6.66 mm (0.26"") and a surface area of 21.32 mm².",Olympus,AZ-2 Zoom
